business name,distance in miles,phone number,category,address,address 2,address 3,city,state,zip
Just Kids,5.26,+19073335437,Pediatric Dentists,700 Muldoon Rd,,,Anchorage,AK,99504
Fergusson & Associates,7.84,+19073480047,General Dentistry,16860 Old Seward Hwy,,,Anchorage,AK,99516
Aurora Family Dentistry,1.57,+19072587060,"Orthodontists,Cosmetic Dentists,General Dentistry",121 West Fireweed Ln,Ste 280,,Anchorage,AK,99503
Ersland Family Dental,1.39,+19072761621,"General Dentistry,Cosmetic Dentists,Pediatric Dentists",2525 Gambell St,Ste 304,,Anchorage,AK,99503
Heatherstone Dental Center,3.39,+19072486066,General Dentistry,2700 W Dimond Blvd,,,Anchorage,AK,99502
Clear Dental,3.25,+19073376453,"General Dentistry,Cosmetic Dentists",2906 Boniface Pkwy,,,Anchorage,AK,99504
Welch Maurice DDS,0.39,+19075634844,Oral Surgeons,4450 Cordova St,,,Anchorage,AK,99503
DuClos Orthodontics,2.05,+19072723200,"Oral Surgeons,Orthodontists",1836 W Northern Lights Blvd,,,Anchorage,AK,99517
Ostby Family Dental,0.66,+19075611228,"Cosmetic Dentists,General Dentistry",1600 E Tudor Rd,Ste 2,,Anchorage,AK,99507
"Murphy Seth D, DDS",0.35,+19075614047,Dentists,330 E Tudor Rd,,,Anchorage,AK,99503
Stratton Jim L DDS,2.18,+19073493569,Oral Surgeons,8301 Briarwood St,Ste 202,,Anchorage,AK,99518
Glacier Dental,0.8,+19072226000,General Dentistry,3606 Rhone Cir,,,Anchorage,AK,99508
Anchorage Oral & Maxillofacial Surgery,2.83,+19075629939,Oral Surgeons,2000 Abbott Rd,Ste 200,,Anchorage,AK,99507
Smiles Dental - Midtown,0.9,+19072684939,"General Dentistry,Periodontists,Cosmetic Dentists",625 E 34th Ave,Ste 200,,Anchorage,AK,99503
Urda Warren DDS,1.52,+19072763804,Oral Surgeons,237 E Fireweed Ln,Ste 101,,Anchorage,AK,99503
Denali Family Dental Center,0.87,+19075611317,"Orthodontists,General Dentistry,Cosmetic Dentists",3401 Denali St,Ste 102,,Anchorage,AK,99503
"John M Sparaga, DMD",3.04,+19075225000,Orthodontists,9500 Independence Dr,Ste 1000,,Anchorage,AK,99507
"Paul Biederman, DDS - Aurora Family Dentistry",1.57,+19072587060,"General Dentistry,Cosmetic Dentists",121 W Fireweed Ln,Ste 280,,Anchorage,AK,99503
All About Smiles Dental,1.52,+19072763804,"Periodontists,Cosmetic Dentists,General Dentistry",237 E Fireweed Ln,Ste 101,,Anchorage,AK,99503
Morehead Robert W DMD,1.41,+19072761712,General Dentistry,2600 Cordova St,Ste 200,,Anchorage,AK,99503
"David L Maisey, DDS",0.88,+19075611317,"Cosmetic Dentists,General Dentistry",3401 Denali St,Ste 102,,Anchorage,AK,99503
Legacy Dental Arts,14.94,+19076227874,"General Dentistry,Endodontists,Periodontists",12641 Old Glenn Hwy,Ste 204,,Eagle River,AK,99577
Deeter Randy DDS,1.27,+19075611430,Oral Surgeons,3650 Lake Otis Pkwy,,,Anchorage,AK,99508
Matthews Robert S DDS,1.92,+19075617110,"Oral Surgeons,Periodontists",3340 Providence Dr,Ste 363,,Anchorage,AK,99508
bty DENTAL,3.99,+19073336666,General Dentistry,4211 Mountain View Dr,Ste 102,,Anchorage,AK,99508
Alaska Oral Surgery Group,2.75,+19072785678,Oral Surgeons,1200 Airport Heights Dr,Ste 265,,Anchorage,AK,99508
Kids Dental Tree,2.31,+19073367337,"Pediatric Dentists,General Dentistry",1310 E Dimond Blvd,Ste 3,,Anchorage,AK,99515
Oral Surgery Associates,1.27,+19075611430,General Dentistry,3650 Lake Otis Pkwy,Ste 201,,Anchorage,AK,99508
Pediatric Dental Associates,0.36,+19075221991,Pediatric Dentists,330 E Tudor Rd,,,Anchorage,AK,99503
Alaska Endodontics Specialist,1.21,+19073349995,Endodontists,4001 Lake Otis Pkwy,,,Anchorage,AK,99508
Engibous Paul DDS,0.35,+19075221567,"Oral Surgeons,Pediatric Dentists",330 E Tudor Rd,,,Anchorage,AK,99503
Family Medical Dental Center,3.11,+19073331211,"Orthodontists,Periodontists,Oral Surgeons",4361 Boniface Pkwy,,,Anchorage,AK,99504
Accent On Dentistry,3.04,+19075223000,"General Dentistry,Teeth Whitening",9500 Independence Dr,Ste 700,,Anchorage,AK,99507
Clear Smiles Alaska,3.04,+19075225000,Orthodontists,9500 Independence Dr,Ste 1000,,Anchorage,AK,99507
"Maloney Stephen M, DMD",1.93,+19072796000,Dentists,1113 W Fireweed Ln,Ste 101,,Anchorage,AK,99503
Koropp Orthodontics,3.39,+19072488999,Orthodontists,2700 W Dimond Blvd,Ste 1,,Anchorage,AK,99502
Oral Surgery Associates of Alaska,2.11,+19075611430,Oral Surgeons,111 W 16th Ave,Ste 203,,Anchorage,AK,99501
Solstice Dentistry,3.37,+19073339591,Oral Surgeons,2601 Boniface Pkwy,,,Anchorage,AK,99504
"Symonds Lisa, DDS",1.21,+19072728422,Oral Surgeons,2401 E 42nd Ave,Ste 201,,Anchorage,AK,99508
Aspen Endodontics,1.06,+19072793636,Endodontists,3909 Arctic Blvd,Ste 203,,Anchorage,AK,99503
"Coombs Orthodontics LLC, DDS",0.77,+19073414310,Orthodontists,3708 Rhone Cir,,,Anchorage,AK,99508
Anchorage Dental Center,2.58,+19072782521,Cosmetic Dentists,235 E 9th Ave,,,Anchorage,AK,99501
Alaska Oral Surgery Center,2.23,+19075223007,Oral Surgeons,800 E Dimond Blvd,Ste 3-535,,Anchorage,AK,99515
Murray Orthodontics,3.77,+19072770502,Orthodontists,1000 O'Malley Rd,Ste 105,,Anchorage,AK,99515
Hartman Brian DMD,3.37,+19073371536,Orthodontists,2601 Boniface Pkwy,,,Anchorage,AK,99504
Midnight Sun Dental Center,13.92,+19076223000,"General Dentistry,Cosmetic Dentists,Teeth Whitening",10928 Eagle River Rd,Ste 105,,Eagle River,AK,99577
"Derek N Priebe, DDS - Priebe Orthodontics",0.88,+19075632828,Orthodontists,3401 Denali St,,,Anchorage,AK,99503
Alaska Dentistry for Kids,4.6,+19072742525,Pediatric Dentists,1389 Huffman Park Dr,Ste 208,,Anchorage,AK,99515
Eagle View Family Dental,14.12,+19076945207,General Dentistry,16635 Centerfield Dr,Ste 207,,Eagle River,AK,99577
Murray Orthodontics,1.64,+19072770502,Orthodontists,2211 E Northern Lights Blvd,,,Anchorage,AK,99508
Eagle River Orthodontics,14.12,+19076943555,Orthodontists,16635 Centerfield Dr,Ste 201,,Eagle River,AK,99577
"Brett L Keeler, DDS",15.07,+19076942129,General Dentistry,13012 Old Glenn Hwy,Ste 101,,Eagle River,AK,99577
Alaska Oral Surgery Group,13.92,+19076941248,"General Dentistry,Oral Surgeons",10928 Eagle River Rd,Ste 128,,Eagle River,AK,99577
Alaska Native Medical Center,2.34,+19075632662,Hospitals,4315 Diplomacy Dr,,,Anchorage,AK,99508
Discovery Dental,14.94,+19076225437,Pediatric Dentists,12641 Old Glenn Hwy,Ste 203,,Eagle River,AK,99577
Orlando Family & Cosmetic Dentistry,4.39,+14078941451,"General Dentistry,Cosmetic Dentists",3191 Maguire Blvd,Ste 251,,Orlando,FL,32803
Simmonds Dental Center,5.77,+14079821912,"General Dentistry,Cosmetic Dentists",1601 Park Center Dr,Ste 1,,Orlando,FL,32835
Crescent Dental,4.07,+14072757703,"General Dentistry,Cosmetic Dentists",5480 Curry Ford Rd,,,Orlando,FL,32812
Sand Lake Dental,7.84,+14073550608,"General Dentistry,Cosmetic Dentists,Oral Surgeons",7932 W Sand Lake Rd,Ste 301,,Orlando,FL,32819
Natural Smiles of Orlando,3.15,+14078965656,"Cosmetic Dentists,General Dentistry,Endodontists",1315 E Robinson St,,,Orlando,FL,32801
Lake Nona Dental Group,10.22,+14072771779,"General Dentistry,Cosmetic Dentists",10429 Moss Park Rd,,,Orlando,FL,32832
Orlando Dentures and Implants,0.77,+14072504832,"General Dentistry,Oral Surgeons",251 E Michigan St,,,Orlando,FL,32806
Southpark Dental Group,5.11,+14072480100,"Periodontists,General Dentistry,Cosmetic Dentists",8801 Commodity Cir,,,Orlando,FL,32819
Waterford Chase Dental,11.54,+14076746890,"General Dentistry,Cosmetic Dentists",801 Woodbury Rd,Ste 102,,Orlando,FL,32828
Winter Park Dentistry,6.11,+14076292161,"General Dentistry,Pediatric Dentists,Cosmetic Dentists",865 Balch Ave,,,Winter Park,FL,32789
Winter Park Family Dentistry and Prosthodontics,6.71,+14076440177,"Pediatric Dentists,General Dentistry,Cosmetic Dentists",731 West Morse Blvd,,,Winter Park,FL,32789
Doctor Phillips Modern Dentistry,7.11,+14072050246,"Cosmetic Dentists,Oral Surgeons,General Dentistry",8015 Turkey Lake Rd,Ste 300,,Orlando,FL,32819
Oasis Dental,3.5,+14076748770,"Cosmetic Dentists,General Dentistry",610 N Mills Ave,Ste 200,,Orlando,FL,32803
Alafaya Center for Cosmetic & Family Dentistry,11.28,+14073813000,"General Dentistry,Cosmetic Dentists",1870 N Alafaya Trl,,,Orlando,FL,32826
"Amaury Valle, DMD",4.79,+14076014468,"General Dentistry,Cosmetic Dentists,Endodontists",2116 Edgewater Dr,,,Orlando,FL,32804
Nona Dentists,11.58,+14076271235,"Oral Surgeons,General Dentistry,Cosmetic Dentists",12711 Narcoossee Rd,"Bldg B, Ste 100",,Orlando,FL,32832
Hillcrest Dental,5.66,+14078982371,"General Dentistry,Cosmetic Dentists",3600 Formosa Ave,,,Orlando,FL,32804
"Douglas A Huhn, DMD, PA",1.82,+14074226281,"General Dentistry,Cosmetic Dentists,Periodontists",1100 S Orange Ave,,,Orlando,FL,32806
Lake Baldwin Dental,4.93,+14075158500,General Dentistry,950 Lake Baldwin Ln,,,Orlando,FL,32814
Lee Vista Dental,7.1,+14073848099,General Dentistry,8624 Lee Vista Blvd,,,Orlando,FL,32829
The Dentist's Studio,5.86,+14076471744,General Dentistry,1350 Orange Ave,Ste 106,,Winter Park,FL,32789
Fine Dentistry of Downtown Orlando,3.38,+14078981621,"General Dentistry,Cosmetic Dentists,Periodontists",429 N Ferncreek Ave,,,Orlando,FL,32803
Watson Dental Care,5.31,+14073513213,"General Dentistry,Orthodontists,Cosmetic Dentists",5979 Vineland Rd,Ste 205,,Orlando,FL,32819
Sperling Dental,1.02,+14078434091,"Cosmetic Dentists,General Dentistry",905 E Michigan St,,,Orlando,FL,32806
Dynamic Smile Design,3.59,+14078955600,"Cosmetic Dentists,General Dentistry",1600 E Hillcrest St,,,Orlando,FL,32803
Watkins Dental Group,4.23,+14078941100,General Dentistry,1318 N Mills Ave,,,Orlando,FL,32803
Elite Dentistry,13.55,+14076580103,"Cosmetic Dentists,General Dentistry",13000 Avalon Lake Dr,Ste 201,,Orlando,FL,32828
Dentistry at Lake Nona,10.4,+14073807734,"Endodontists,Periodontists,Cosmetic Dentists",10743 Narcoossee Rd,Ste A26,,Orlando,FL,32832
24 Hour Dentist,6.53,+14079030320,"General Dentistry,Endodontists,Orthodontists",7259 International Dr,,,Orlando,FL,32819
Buena Vista Family Dentistry,10.48,+14079300060,"General Dentistry,Cosmetic Dentists",11444 S Apopka Vineland Rd,Ste 101,,Orlando,FL,32836
All About Beautiful Smiles,7.66,+14072909588,"General Dentistry,Cosmetic Dentists",7450 Dr Phillips Blvd,Ste 200,,Orlando,FL,32819
Park Smiles Dentistry,6.74,+14076454645,"Cosmetic Dentists,General Dentistry,Orthodontists",199 E Welbourne Ave,Ste 200,,Winter Park,FL,32789
"Rampi, Richard C, DMD",6.21,+14073526959,General Dentistry,5940 Turkey Lake Rd,,,Orlando,FL,32819
Woodbury Family Dentistry,11.73,+14072823232,General Dentistry,12278 E Colonial Dr,,,Orlando,FL,32826
"Mary Gharagozloo, DDS",3.1,+14076483688,"Cosmetic Dentists,General Dentistry,Periodontists",338 N Magnolia Dr,,,Orlando,FL,32801
"Alan R Heap, DMD",6.44,+14075783734,"Prosthodontists,Pediatric Dentists,Cosmetic Dentists",2295 S Hiawassee Rd,Ste 216,,Orlando,FL,32835
Overmeyer Family Dental,2.84,+14076033839,"General Dentistry,Cosmetic Dentists,Orthodontists",3221 S Conway Rd,Ste C,,Orlando,FL,32812
"Michael Salazar, DDS",3.08,+14078551128,Dentists,4755 S Conway Rd,,,Orlando,FL,32812
"Vincent A Grosso II, DMD",11.07,+14073505969,"General Dentistry,Cosmetic Dentists,Endodontists",1140 Cypress Glen Cir,,,Kissimmee,FL,34741
"Carl L Weston, DDS",5.0,+14073519841,"Oral Surgeons,General Dentistry",5692 Windhover Dr,,Dental orlando,Orlando,FL,32819
Master Family Dental,6.45,+14077209944,"Cosmetic Dentists,General Dentistry,Orthodontists",6646 Old Winter Garden Rd,,Oakhilll Village Plz,Orlando,FL,32835
Colonial Dental Care,5.53,+14072999099,"General Dentistry,Orthodontists,Cosmetic Dentists",5074 W Colonial Dr,,,Orlando,FL,32808
Smiles Forever,7.15,+14073631904,"Cosmetic Dentists,General Dentistry,Oral Surgeons",7208 W Sand Lake Rd,,,Orlando,FL,32819
Thornton Park Dental Arts,3.1,+14078962881,"Cosmetic Dentists,General Dentistry",1200 E Robinson St,,,Orlando,FL,32801
Metro Smiles,5.27,+14072917220,"General Dentistry,Cosmetic Dentists,Orthodontists",2869 Wilshire Dr,Ste 101,,Orlando,FL,32835
Sage Dental of Downtown Orlando,2.76,+14074406777,"Cosmetic Dentists,General Dentistry,Periodontists",404 E Central Blvd,Ste 100,,Orlando,FL,32801
"David E. Junca, DDS - Junca Dental & Associates",5.99,+14078883384,"General Dentistry,Cosmetic Dentists,Periodontists",680 S Goldenrod Rd,,,Orlando,FL,32822
"Edwin J Szczepanik, DMD",7.48,+14073526888,"General Dentistry,Oral Surgeons,Cosmetic Dentists",7758 Wallace Rd,Ste 3,,Orlando,FL,32819
Koyfman Dental,3.72,+14078419435,"General Dentistry,Cosmetic Dentists,Orthodontists",1255 W Colonial Dr,,,Orlando,FL,32804
"Marcia E Martinez, DMD PA",3.72,+14072736620,"General Dentistry,Cosmetic Dentists",5180 Curry Ford Rd,,,Orlando,FL,32812
"Marcy L Keown,DMD,PA",10.88,+14074821405,"Pediatric Dentists,General Dentistry,Orthodontists",1549 S Alafaya Trl,Ste 200,,Orlando,FL,32828
Orlando Dental Center,0.67,+14078517740,"General Dentistry,Endodontists,Orthodontists",300 Gatlin Ave,Ste 1,,Orlando,FL,32806
University Dental Group,10.44,+14076795151,"Pediatric Dentists,Orthodontists,Cosmetic Dentists",4051 N Dean Rd,,,Orlando,FL,32817
Paroo Dental,8.02,+14079090338,"General Dentistry,Cosmetic Dentists",4848 S Apopka Vineland Rd,Ste 218,,Orlando,FL,32819
"Anne Hajek, DDS",6.44,+14075321977,"General Dentistry,Cosmetic Dentists",7485 Conroy Windermere Rd,Ste B,,Orlando,FL,32835
Mills Park Dental,5.82,+14072281353,"Cosmetic Dentists,Endodontists,Periodontists",1327 N Mills Ave,,,Orlando,FL,32803
My Dental Care Center,9.84,+14072403372,"General Dentistry,Endodontists,Cosmetic Dentists",3708 Town Ctr Blvd,Ste B,,Orlando,FL,32837
"Carlos J Gurreonero DMD, PA",5.19,+14072195931,"Cosmetic Dentists,Oral Surgeons,Endodontists",8865 Commodity Cir,Ste 6,,Orlando,FL,32819
Windermere Dental and Medical Spa,11.98,+13214451115,"General Dentistry,Medical Spas,Cosmetic Dentists",9005 Taborfield Ave,,,Orlando,FL,32836
Parkway Dental Care,11.28,+14079322273,"General Dentistry,Cosmetic Dentists",1064 E Osceola Pkwy,,,Kissimmee,FL,34744
Nona Smiles,8.69,+14073787288,"Cosmetic Dentists,General Dentistry,Periodontists",9145 Narcoossee Rd,Ste A-100,,Orlando,FL,32827
Family & Cosmetic Dentistry,6.99,+14073822282,"General Dentistry,Cosmetic Dentists,Endodontists",6415 S Chickasaw Trl,,,Orlando,FL,32829
Conway Oaks Dental,2.84,+14079076760,"Cosmetic Dentists,General Dentistry,Endodontists",3221 S Conway Rd,Ste A,,Orlando,FL,32812
Baldwin Park Family Dental,5.37,+14078971120,General Dentistry,4808 New Broad St,,,Orlando,FL,32814
"Christina A Boesch, DMD",2.55,+14078570950,"Pediatric Dentists,General Dentistry,Cosmetic Dentists",5155 S John Young Pkwy,,,Orlando,FL,32839
Lake Eola Dental,3.09,+14079307007,"General Dentistry,Cosmetic Dentists,Endodontists",338 N Magnolia Ave,Ste C,,Orlando,FL,32801
Windermere Dentistry,8.14,+14079091099,"General Dentistry,Cosmetic Dentists,Endodontists",4769 The Grove Dr,Ste 100,,Windermere,FL,34786
Harden Family Dentistry,0.13,+14078265205,"General Dentistry,Cosmetic Dentists",3825 Oakwater Cir,,,Orlando,FL,32806
Delaney Park Dentistry,2.22,+14074223131,"General Dentistry,Cosmetic Dentists",605 Delaney Ave,,,Orlando,FL,32801
Medplex Dental,7.97,+14073512245,"Cosmetic Dentists,General Dentistry,Endodontists",7350 Sandlake Commons Blvd,Ste 1121,,Orlando,FL,32819
Smile Dental,11.52,+14077376464,"General Dentistry,Endodontists,Cosmetic Dentists",11500 University Blvd,Ste 101,,Orlando,FL,32817
Lake Nona Family Dentistry,9.1,+14072034100,"General Dentistry,Cosmetic Dentists",9625 Lake Nona Village Place,,,Orlando,FL,32827
"Gregory D Reddish, DMD",1.19,+14078973406,General Dentistry,1414 E Michigan St,,,Orlando,FL,32806
Elegantly Dental,3.89,+14078510784,"General Dentistry,Cosmetic Dentists,Periodontists",1325 Florida Mall Ave,,,Orlando,FL,32809
Life Enhancing Dentistry,12.48,+14072059544,"General Dentistry,Endodontists,Cosmetic Dentists",9717 Eagle Creek Center Blvd,Ste 102,,Orlando,FL,32832
Bright Now! Dental,3.95,+14075175510,"General Dentistry,Cosmetic Dentists,Orthodontists",1700 Sand Lake Rd,,,Orlando,FL,32809
Phan-tastic Smiles,6.43,+14072827498,"General Dentistry,Cosmetic Dentists",7824 Lake Underhill Rd,Ste G,,Orlando,FL,32822
Center for Dental Anesthesia,3.3,+14078944921,"General Dentistry,Cosmetic Dentists",2122 E Robinson St,,,Orlando,FL,32803
Conway Dental Care,2.89,+14078942048,"Cosmetic Dentists,General Dentistry",3862 Curry Ford Rd,,,Orlando,FL,32806
Park Lake Dental,3.5,+14078417321,"General Dentistry,Cosmetic Dentists,Endodontists",304 E Colonial Dr,,,Orlando,FL,32801
"Halem Evelyn Miranda, DMD PA",5.84,+14072946009,General Dentistry,1405 S Hiawassee Rd,Ste C,,Orlando,FL,32835
Orlando Dental & Implant Studio,7.32,+14076017999,"Cosmetic Dentists,General Dentistry,Naturopathic/Holistic",8257 Narcoossee Park Dr,Ste 524,,Orlando,FL,32822
